iter	MultiClass
0	1.791387861
1	1.791213441
2	1.790884212
3	1.789373354
4	1.789183757
5	1.787596575
6	1.786217439
7	1.784971098
8	1.783998782
9	1.782389512
10	1.782136846
11	1.781081281
12	1.780106218
13	1.779051028
14	1.777789051
15	1.776645575
16	1.776596338
17	1.775732252
18	1.775694985
19	1.7748182
20	1.774031419
21	1.772970009
22	1.772135508
23	1.771498937
24	1.770716703
25	1.770053366
26	1.769456741
27	1.76881222
28	1.768105621
29	1.767266701
30	1.766489113
31	1.765608676
32	1.764868314
33	1.764143512
34	1.763561247
35	1.763561118
36	1.763525056
37	1.762908479
38	1.7624967
39	1.761952958
40	1.761493899
41	1.760744651
42	1.760743263
43	1.760227439
44	1.759619146
45	1.759058233
46	1.758551726
47	1.758037419
48	1.757590866
49	1.757572132
50	1.75743372
51	1.756773228
52	1.75638475
53	1.756352399
54	1.756000115
55	1.755418854
56	1.754816125
57	1.754099021
58	1.753781282
59	1.753464945
60	1.753000252
61	1.752481571
62	1.752017619
63	1.751554599
64	1.750996097
65	1.75043241
66	1.749692189
67	1.749661851
68	1.749301914
69	1.749213886
70	1.749052205
71	1.748572487
72	1.748045811
73	1.747593757
74	1.747129449
75	1.746787038
76	1.746761571
77	1.746184958
78	1.746102272
79	1.745673835
80	1.745443163
81	1.744844775
82	1.744338654
83	1.743963638
84	1.743561021
85	1.742885784
86	1.742500087
87	1.74209641
88	1.741635826
89	1.741277604
90	1.74061897
91	1.740153283
92	1.739677895
93	1.739318589
94	1.738952081
95	1.738489201
96	1.738005727
97	1.737546523
98	1.737169794
99	1.736571522
