iter	Passed	Remaining
0	1	166
1	3	152
2	4	150
3	6	158
4	8	154
5	10	158
6	12	160
7	14	162
8	16	162
9	17	161
10	19	158
11	21	157
12	23	157
13	25	155
14	27	155
15	29	154
16	31	151
17	33	150
18	34	147
19	36	146
20	38	144
21	40	143
22	42	142
23	44	140
24	46	140
25	49	140
26	51	138
27	53	137
28	55	136
29	57	134
30	59	133
31	61	131
32	63	129
33	65	127
34	68	126
35	69	123
36	71	121
37	73	119
38	75	117
39	77	116
40	79	114
41	81	112
42	83	110
43	85	108
44	87	106
45	89	105
46	91	103
47	93	101
48	95	99
49	97	97
50	98	95
51	101	93
52	103	91
53	104	89
54	106	87
55	108	85
56	110	83
57	112	81
58	114	79
59	116	77
60	119	76
61	121	74
62	123	72
63	125	70
64	127	68
65	130	66
66	132	65
67	133	62
68	135	61
69	137	58
70	139	57
71	141	55
72	143	53
73	145	51
74	147	49
75	149	47
76	151	45
77	153	43
78	155	41
79	157	39
80	159	37
81	161	35
82	163	33
83	166	31
84	168	29
85	170	27
86	172	25
87	174	23
88	177	21
89	179	19
90	181	17
91	183	15
92	186	14
93	188	12
94	190	10
95	192	8
96	194	6
97	196	4
98	198	2
99	200	0
